Name of Entity,Dates of Breach,Reported Date,Date(s) of Discovery of Breach,Date Notice Provided to Consumers,Link,State Reported,Source(s),Start Date of Breach,End Date of Breach
Phoenix Inns,8/10/2016 - 3/9/2017,2017-09-28 00:00:00,2017-06-08 00:00:00,2017-09-22 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1522600644,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-08-10 00:00:00,2017-03-09 00:00:00
"Servis One, Inc. dba BSI Financial Services",5/31/2017 - 6/1/2017,2017-09-29 00:00:00,2017-06-01 00:00:00,2017-09-25 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/955147169,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-05-31 00:00:00,2017-06-01 00:00:00
The Online Traffic School,6/20/2014 - 7/26/2017,2017-09-29 00:00:00,2017-07-26 00:00:00,2017-09-29 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/387693694,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2014-06-20 00:00:00,2017-07-26 00:00:00
Kenco Group,8/30/2017 - 8/30/2017,2017-10-02 00:00:00,,2017-09-29 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1967723867,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-08-30 00:00:00,2017-08-30 00:00:00
"FlexShopper, LLC",8/25/2017 - 8/30/2017,2017-10-05 00:00:00,2017-08-30 00:00:00,2017-10-05 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1400270392,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-08-25 00:00:00,2017-08-30 00:00:00
Tommie Copper Inc.,4/25/2017 - 8/29/2017,2017-10-06 00:00:00,2017-08-24 00:00:00,2017-10-06 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/832816917,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-04-25 00:00:00,2017-08-29 00:00:00
"Provo Craft & Novelty, Inc., d/b/a Cricut",5/27/2017 - 7/12/2017,2017-10-12 00:00:00,2017-09-13 00:00:00,2017-10-05 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/265363442,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-05-27 00:00:00,2017-07-12 00:00:00
Hyatt Hotels Corporation,3/18/2017 - 7/2/2017,2017-10-12 00:00:00,2017-07-07 00:00:00,2017-10-12 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1277940140,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-03-18 00:00:00,2017-07-02 00:00:00
Owner's Association of Rivertide Suites,8/10/2016 - 3/9/2017,2017-10-13 00:00:00,2017-09-06 00:00:00,2017-10-13 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/710486665,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-08-10 00:00:00,2017-03-09 00:00:00
Catholic United Financial,11/12/2016 - 9/6/2017,2017-10-13 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-11-12 00:00:00,2017-09-06 00:00:00
"Transamerica, including Transamerica Life Insurance Company & Transamerica Retirement Solutions, LLC",1/3/2017 - 8/29/2017,2017-10-13 00:00:00,2017-09-19 00:00:00,2017-10-16 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1723063363,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-01-03 00:00:00,2017-08-29 00:00:00
"Pizza Hut, LLC",10/1/2017 - 10/2/2017,2017-10-16 00:00:00,2017-10-05 00:00:00,2017-10-14 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1155609888,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-10-01 00:00:00,2017-10-02 00:00:00
"Whole Foods Market Services, Inc.",3/10/2017 - 9/28/2017,2017-10-20 00:00:00,2017-09-23 00:00:00,2017-10-20 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/588156413,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-03-10 00:00:00,2017-09-28 00:00:00
"Shop-Rite Supermarkets, Inc.",2/1/2016 - 2/1/2016,2017-10-30 00:00:00,2017-08-19 00:00:00,2017-10-12 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/20702938,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-02-01 00:00:00,2016-02-01 00:00:00
"Tween Brands, Inc.",,2017-11-03 00:00:00,2017-09-07 00:00:00,2017-11-03 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1600733111,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,a,
Gallagher NAC,6/18/2017 - 9/19/2017,2017-11-13 00:00:00,2017-09-21 00:00:00,2017-11-13 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1033279636,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-06-18 00:00:00,2017-09-19 00:00:00
ABM Industries Incorporated,7/7/2017,2017-11-14 00:00:00,"Tuesday, August 1, 2017
Tuesday, October 17, 2017",2017-11-13 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/465826161,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-07-07 00:00:00,
ABM Industries Incorporated,7/7/2017,2017-11-14 00:00:00,0001-01-01 00:00:00,2019-03-12 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/402932870,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-07-07 00:00:00,
"Uber Technologies, Inc.",10/13/2016 - 11/15/2016,2017-11-21 00:00:00,2016-11-14 00:00:00,2017-11-22 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/2045856334,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-10-13 00:00:00,2016-11-15 00:00:00
"The Medical College of Wisconsin, Inc.",7/21/2017 - 7/28/2017,2017-11-30 00:00:00,2017-09-20 00:00:00,2017-11-17 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/343495909,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-07-21 00:00:00,2017-07-28 00:00:00
JAM Paper & Envelope,6/15/2016 - 11/6/2017,2017-12-01 00:00:00,2017-11-17 00:00:00,2017-12-01 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1923526082,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-06-15 00:00:00,2017-11-06 00:00:00
National Capital Poison Center (“NCPC”),10/21/2017 - 10/21/2017,2017-12-08 00:00:00,2017-11-27 00:00:00,2017-12-08 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/221165657,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-10-21 00:00:00,2017-10-21 00:00:00
SAIF Corporation,11/3/2017 - 11/3/2017,2017-12-21 00:00:00,2017-11-03 00:00:00,2017-12-21 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/270827204,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-11-03 00:00:00,2017-11-03 00:00:00
"Forever 21, Inc.",4/3/2017 - 11/18/2017,2017-12-28 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-04-03 00:00:00,2017-11-18 00:00:00
"TIO Networks USA, Inc. (TIO.com), Cricket Wireless LLC, and Pacific Gas and Electric Company",1/1/2014 - 11/10/2017,2017-12-29 00:00:00,2017-11-10 00:00:00,"Tuesday, December 12, 2017
Saturday, December 23, 2017",https://justice.oregon.gov/consumer/DataBreach/Home/Details/1283403902,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2014-01-01 00:00:00,2017-11-10 00:00:00
WEI Mortgage LLC,9/13/2017 - 9/28/2017,2018-01-03 00:00:00,2017-09-20 00:00:00,"Friday, December 8, 2017
Wednesday, January 3, 2018",https://justice.oregon.gov/consumer/DataBreach/Home/Details/715950427,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-09-13 00:00:00,2017-09-28 00:00:00
"Rea.deeming Beauty, Inc. dba beautyblender",4/25/2015 - 10/26/2017,2018-01-05 00:00:00,2017-11-27 00:00:00,2018-01-05 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/148496952,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2015-04-25 00:00:00,2017-10-26 00:00:00
"LiveGlam, Inc.",12/11/2017,2018-01-11 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-12-11 00:00:00,
Multnomah Athletic Club,12/2/2017 - 12/5/2017,2018-01-11 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-12-02 00:00:00,2017-12-05 00:00:00
"Deli Management, Inc. (d/b/a Jason's Deli, Inc.)",6/8/2017,2018-01-11 00:00:00,2017-12-22 00:00:00,2018-01-11 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/593620175,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-06-08 00:00:00,
Pension Fund of the Christian Church (“Pension Fund”),10/12/2017,2018-01-16 00:00:00,2017-12-13 00:00:00,2018-01-16 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1038743398,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-10-12 00:00:00,
"PAR Electrical Contractors, Inc.",12/22/2017 - 12/22/2017,2018-02-05 00:00:00,2017-12-22 00:00:00,2018-02-05 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1210735197,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-12-22 00:00:00,2017-12-22 00:00:00
Equifax Consumer Services LLC,8/1/2017 - 9/2/2017,2018-02-08 00:00:00,,2018-01-29 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/692943269,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-08-01 00:00:00,2017-09-02 00:00:00
"TERRA Services, Inc.",,2018-02-16 00:00:00,2018-02-06 00:00:00,2018-02-16 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/125489794,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,a,
North 40 Outfitters,1/20/2017 - 1/29/2018,2018-02-23 00:00:00,"Wednesday, January 10, 2018
Monday, January 29, 2018",2018-02-23 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/175151341,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-01-20 00:00:00,2018-01-29 00:00:00
North 40 Outfitters,1/20/2017 - 1/29/2018,2018-02-23 00:00:00,"Thursday, November 8, 2018
Thursday, January 3, 2019",2019-02-14 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1092716597,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-01-20 00:00:00,2018-01-29 00:00:00
FastHealth Corporation,8/14/2017 - 8/18/2017,2018-02-27 00:00:00,2017-11-02 00:00:00,2018-02-27 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1755181514,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-08-14 00:00:00,2017-08-18 00:00:00
Preferred Hotel & Resorts,6/1/2018 - 11/1/2017,2018-03-02 00:00:00,2018-01-25 00:00:00,2018-03-05 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1187728039,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-06-01 00:00:00,2017-11-01 00:00:00
Pioneer Pacific College,2/9/2018,2018-03-07 00:00:00,,,https://justice.oregon.gov/consumer/DataBreach/Home/Details/620274564,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-02-09 00:00:00,
Orbitz,10/1/2017 - 12/22/2017,2018-03-21 00:00:00,2018-03-01 00:00:00,"Thursday, March 22, 2018
Friday, March 23, 2018",https://justice.oregon.gov/consumer/DataBreach/Home/Details/52821089,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-10-01 00:00:00,2017-12-22 00:00:00
Bronson Nutritionals LLC,5/15/2017 - 1/30/2018,2018-03-27 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-05-15 00:00:00,2018-01-30 00:00:00
Oregon Department of Revenue,2/21/2018,2018-03-27 00:00:00,2018-03-23 00:00:00,,https://justice.oregon.gov/consumer/DataBreach/Home/Details/497944312,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-02-21 00:00:00,
"Delta Air Lines, Inc.",9/26/2017 - 10/12/2017,2018-04-13 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-09-26 00:00:00,2017-10-12 00:00:00
"Inogen, Inc.",12/9/2017 - 3/14/2018,2018-04-13 00:00:00,2018-03-14 00:00:00,2018-04-13 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/943067535,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-12-09 00:00:00,2018-03-14 00:00:00
W.W. Grainger Inc.,9/26/2017 - 10/12/2017,2018-04-20 00:00:00,2018-04-10 00:00:00,2018-04-18 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/992729082,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-09-26 00:00:00,2017-10-12 00:00:00
Southwest Airlines co.,10/1/2017 - 12/22/2017,2018-04-20 00:00:00,2018-03-22 00:00:00,2018-04-20 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/425275607,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-10-01 00:00:00,2017-12-22 00:00:00
Hudson's Bay Company,7/1/2017,2018-05-03 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-07-01 00:00:00,
"Alaska Airlines, Inc.",10/1/2017 - 12/22/2017,2018-05-04 00:00:00,2018-03-19 00:00:00,2018-05-04 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/302945355,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-10-01 00:00:00,2017-12-22 00:00:00
Rail Europe North America Inc.,11/29/2017 - 2/16/2018,2018-05-08 00:00:00,2018-02-16 00:00:00,2018-04-30 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1882975528,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-11-29 00:00:00,2018-02-16 00:00:00
"Suntrust Banks, Inc",,2018-05-08 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,a,
Global University,12/31/2017 - 1/31/2018,2018-05-08 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-12-31 00:00:00,2018-01-31 00:00:00
"LaPorte & Associates, Inc.",4/2/2018,2018-05-14 00:00:00,2018-01-09 00:00:00,2018-05-07 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/180615103,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-04-02 00:00:00,
"TaskRabbit, Inc.",4/11/2018 - 4/18/2018,2018-05-16 00:00:00,2018-04-13 00:00:00,"Wednesday, May 9, 2018
Thursday, May 10, 2018
Friday, May 11, 2018
Saturday, May 12, 2018",https://justice.oregon.gov/consumer/DataBreach/Home/Details/1760645276,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-04-11 00:00:00,2018-04-18 00:00:00
Cable Hill Partners LLC,1/10/2018 - 1/16/2018,2018-05-17 00:00:00,2018-01-16 00:00:00,2018-05-15 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1193191801,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-01-10 00:00:00,2018-01-16 00:00:00
Sears Holdings Managment Corporation,9/27/2017 - 10/12/2017,2018-05-17 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-09-27 00:00:00,2017-10-12 00:00:00
Corporation Service Company,11/25/2017,2018-05-17 00:00:00,2018-04-05 00:00:00,2018-05-17 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/58284851,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-11-25 00:00:00,
"Bombas, LLC","9/1/2013 - 1/15/2015, 1/27/2015 - 2/9/2015",2018-05-18 00:00:00,"Wednesday, December 31, 2014
Tuesday, January 27, 2015",2018-05-21 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1638315024,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2013-09-01 00:00:00,2015-02-09 00:00:00
"Integrated Practice Solutions, Inc.",4/11/2018 - 4/11/2018,2018-05-21 00:00:00,2018-04-11 00:00:00,"Monday, May 7, 2018
Friday, May 18, 2018",https://justice.oregon.gov/consumer/DataBreach/Home/Details/1365183600,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-04-11 00:00:00,2018-04-11 00:00:00
Saxon Insurance Services,5/7/2018 - 5/7/2018,2018-05-23 00:00:00,2018-05-07 00:00:00,2018-05-23 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/230276650,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-05-07 00:00:00,2018-05-07 00:00:00
Chili's Grill & Bar,3/1/2018 - 4/1/2018,2018-05-23 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-03-01 00:00:00,2018-04-01 00:00:00
The Oregon Clinic,,2018-05-24 00:00:00,,,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1242853348,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,a,
Care Partners Hospice and Palliative,4/11/2018 - 4/11/2018,2018-05-25 00:00:00,2018-04-11 00:00:00,2018-05-25 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/675399873,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-04-11 00:00:00,2018-04-11 00:00:00
City of Portland,4/6/2018 - 4/6/2018,2018-06-01 00:00:00,2018-04-06 00:00:00,,https://justice.oregon.gov/consumer/DataBreach/Home/Details/107946398,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-04-06 00:00:00,2018-04-06 00:00:00
"Transamerica, including Transamerica Life Insurance Company and Transamerica Retirement Solutions",3/1/2017 - 1/31/2018,2018-06-01 00:00:00,2017-12-08 00:00:00,2018-06-01 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1687976571,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-03-01 00:00:00,2018-01-31 00:00:00
Holland Eye Surgery and Laser Center,6/1/2016,2018-06-06 00:00:00,2018-03-19 00:00:00,2018-05-25 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1120523096,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-06-01 00:00:00,
Aimbridge Employee Service Corp.,1/8/2018 - 3/21/2018,2018-06-07 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-01-08 00:00:00,2018-03-21 00:00:00
State Accident Insurance Fund Corporation,5/7/2018 - 5/9/2018,2018-06-08 00:00:00,2018-05-09 00:00:00,2018-06-08 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1565646319,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-05-07 00:00:00,2018-05-09 00:00:00
"Macy's, Inc",5/26/2018 - 6/11/2018,2018-07-03 00:00:00,2018-06-11 00:00:00,"Tuesday, June 19, 2018
Tuesday, July 3, 2018",https://justice.oregon.gov/consumer/DataBreach/Home/Details/35277693,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-05-26 00:00:00,2018-06-11 00:00:00
ATI Holdings LLC and its subsidiaries,1/9/2018 - 1/9/2018,2018-07-05 00:00:00,0001-01-01 00:00:00,"Tuesday, March 27, 2018
Thursday, June 21, 2018",https://justice.oregon.gov/consumer/DataBreach/Home/Details/1615307866,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-01-09 00:00:00,2018-01-09 00:00:00
The International Mission Board,2/14/2018 - 2/14/2018,2018-07-06 00:00:00,2018-06-08 00:00:00,2018-07-06 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1047854391,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-02-14 00:00:00,2018-02-14 00:00:00
Campbell Soup Company,6/27/2018 - 6/27/2018,2018-07-10 00:00:00,2018-06-27 00:00:00,2018-07-09 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/480400916,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-06-27 00:00:00,2018-06-27 00:00:00
Tommie Copper Inc,"11/10/2017 - 11/10/2017, 1/21/2018 - 1/21/2018",2018-07-11 00:00:00,2018-06-01 00:00:00,2018-07-11 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/2060431089,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-11-10 00:00:00,2018-01-21 00:00:00
"City of Medford, Oregon","2/18/2018 - 2/18/2018, 3/29/2018 - 3/29/2018",2018-07-20 00:00:00,2018-06-05 00:00:00,2018-07-23 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1542639161,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-02-18 00:00:00,2018-03-29 00:00:00
TradeMotion,1/1/0001,2018-07-25 00:00:00,2018-03-20 00:00:00,2018-07-24 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/975185686,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,0001-01-01 00:00:00,
"ComplyRight, Inc",4/20/2018 - 4/20/2018,2018-07-25 00:00:00,2018-05-22 00:00:00,2018-07-13 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/407732211,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-04-20 00:00:00,2018-04-20 00:00:00
Sunspire Health,3/1/2018 - 3/1/2018,2018-07-27 00:00:00,2018-05-17 00:00:00,2018-07-27 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1987762384,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-03-01 00:00:00,2018-03-01 00:00:00
Yale University,4/1/2008 - 4/1/2008,2018-07-27 00:00:00,2018-06-16 00:00:00,2018-07-27 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1420308909,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2008-04-01 00:00:00,2008-04-01 00:00:00
ChoiceOne / MedSpring Urgent Care,5/13/2018 - 5/13/2018,2018-08-03 00:00:00,2018-05-22 00:00:00,2018-07-27 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1865432132,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-05-13 00:00:00,2018-05-13 00:00:00
Colorado Bankers Life Insurance Company,3/28/2018 - 3/28/2018,2018-08-03 00:00:00,"Thursday, June 14, 2018
Wednesday, June 20, 2018",2018-08-03 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1297978657,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-03-28 00:00:00,2018-03-28 00:00:00
Canyon Rd. Chiropractic and Massage,6/30/2018 - 6/30/2018,2018-08-07 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-06-30 00:00:00,2018-06-30 00:00:00
RBC Wealth Management,,2018-08-09 00:00:00,2018-07-18 00:00:00,2018-08-08 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/163071707,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,a,
Legacy Health,5/26/2018 - 5/26/2018,2018-08-21 00:00:00,2018-06-21 00:00:00,2018-08-20 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1175648405,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-05-26 00:00:00,2018-05-26 00:00:00
"Health Management Concepts, Inc.",7/19/2018 - 7/19/2018,2018-08-22 00:00:00,2018-07-19 00:00:00,2018-08-22 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/608194930,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-07-19 00:00:00,2018-07-19 00:00:00
Cheddar's Scratch Kitchen,11/3/2017 - 11/3/2017,2018-08-23 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-11-03 00:00:00,2017-11-03 00:00:00
LÍLLÉbaby,6/1/2016 - 6/1/2016,2018-08-29 00:00:00,2018-06-15 00:00:00,2018-08-28 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1620771628,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2016-06-01 00:00:00,2016-06-01 00:00:00
"Richard Owen Nursery, Inc.",9/29/2017 - 9/29/2017,2018-08-29 00:00:00,2018-08-06 00:00:00,2018-09-05 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1053318153,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-09-29 00:00:00,2017-09-29 00:00:00
Movement Mortgage LLC,10/9/2017 - 10/9/2017,2018-08-31 00:00:00,2018-08-01 00:00:00,2018-08-31 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/485864678,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-10-09 00:00:00,2017-10-09 00:00:00
"Peaceful Valley Farm Supply, Inc.",2/9/2018 - 2/9/2018,2018-09-12 00:00:00,2018-07-18 00:00:00,2018-09-12 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1498441376,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-02-09 00:00:00,2018-02-09 00:00:00
Tech Rabbit LLC,2/22/2017 - 2/22/2017,2018-09-19 00:00:00,2018-08-08 00:00:00,0001-01-01 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/930987901,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2017-02-22 00:00:00,2017-02-22 00:00:00
"Smith Freed & Eberhard, P.C.",7/26/2018 - 7/26/2018,2018-09-21 00:00:00,2018-08-17 00:00:00,2018-09-21 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/363534426,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-07-26 00:00:00,2018-07-26 00:00:00
"FirstGroup of America, Inc.",8/1/2015,2018-09-26 00:00:00,2018-08-15 00:00:00,2018-09-20 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/1943564599,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2015-08-01 00:00:00,
"Northwest Surgical Specialists, P.C. d/b/a Rebound Orthopedics & Neurosurgery",5/22/2018,2018-10-05 00:00:00,,,,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-05-22 00:00:00,
Cigna,9/5/2018 - 9/5/2018,2018-10-10 00:00:00,2018-09-05 00:00:00,2018-10-10 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/808657649,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-09-05 00:00:00,2018-09-05 00:00:00
Shein,6/1/2018 - 6/1/2018,2018-10-11 00:00:00,2018-08-08 00:00:00,2018-09-21 00:00:00,https://justice.oregon.gov/consumer/DataBreach/Home/Details/241204174,Oregon,https://justice.oregon.gov/consumer/DataBreach/Home/,2018-06-01 00:00:00,2018-06-01 00:00:00
