Data Stolen,Date Notice Provided to Consumers,Date(s) of Discovery of Breach,Dates of Breach,Entity Type,Individuals Affected,Name of Entity,Type of Breach,State Reported
Name or other personal identifier in combination with SSN,2018-06-08 00:00:00,,2018-05-10 00:00:00,,28(in Maine,"Elmcroft Senior Living, Inc., 2807 Allen Street, #834, Dallas, TX 75204",,Maine
"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2017-06-08 00:00:00,,2018-05-25 00:00:00,,2(in Maine,"Creative Bus Sales, Inc., 14740 Ramona Ave., Chino, CA 91710",,Maine
"Certain limited, administrative user-account info for Facility Portal (Their customers primary customers are law enforcement and corrections agencies) No prorietary Network info, financial info or personally identifying info was not included in potentially accessed info.",2018-06-08 00:00:00,,5/15/2018 Approx,,5(in Maine,Securus Technologies Inc.,,Maine
"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-06-07 00:00:00,,2018-03-23 00:00:00,,3(in Maine,"Weil, Akman, Baylin & Coleman, P.A., 201 W. Padonia Road, Suite 600, Timonium, MD 21093",,Maine
Name or other personal identifier in combination with SSN,2018-06-07 00:00:00,,2018-05-07 00:00:00,,19(in Maine,"Systeme Software, Inc., 177 Sandy Hill Road, Bovertown, PA 19512",,Maine
Name or other personal identifier in combination with SSN,2018-06-07 00:00:00,,1/8-3/21/18,,16(in Maine,"Aimbridge Hospitality Holdings, LLC, 5851 Legacy Circle Drive, Suite 400, Plano, TX 75024",,Maine
"Name, SSN and tax information",2018-06-07 00:00:00,,Discovered 2/1/18,,3(in Maine,"Lutz & Carr, CPAs LLP",,Maine
Name or other personal identifier in combination with SSN,2018-06-07 00:00:00,,3/5/18 (discovered 5/23/18),,1(in Maine,"HRB Digital, 1 H&R Block Way, Kansas City, MO 64105",,Maine
Name or other personal identifier in combination with SSN,2018-06-06 00:00:00,,2018-04-25 00:00:00,,128(in Maine,"Bath Housing Authority, 80 Congress Avenue, Bath, ME 04530",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-06-04 00:00:00,,3/15/18-5/11/18,,32(in Maine,"PLAE INC, 220 Montgomery St., Suite 860, San Francisco, CA 94104",,Maine
Name or other personal identifier in combination with SSN.,2018-06-04 00:00:00,,2018-01-17 00:00:00,,13(in Maine,"Humana Inc, 500 W Main Street, Louisville, KY 40202",,Maine
"Credit or debit card number, PIN if used, and name",2018-06-01 00:00:00,,Discovered 4/17/18 (possibly began 12/20/17),,Not specified(in Maine,Walgreen Company,,Maine
"Name, address birthdate & SSN",2018-06-01 00:00:00,,"9/9/17 - 1/24/18 (discovered May 22, 2018)",,3(in Maine,Stein Eriksen Lodge Hotel,,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-05-31 00:00:00,,2/9/18 (discovered 3/30/18),,14(in Maine,"Temecula Motorsports, Inc., 26860 Jefferson Ave., Murrieta, CA 92562",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-05-30 00:00:00,,6/15/17-2/16/18,,11(in Maine,"Rail Europe SAS, Les Collines de l'Arche, Immeuble Concorde B, 76 route de la Demi-Lune, Puteaux, France 92800",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-05-30 00:00:00,,10/26/17-4/12/18,,1(in Maine,"Chattanooga Clothing Company, 1500 Chestnut St., Suite D, Chattanooga, TN 37408",,Maine
"Name or other personal identifier in combination with SSN and Driver's license #, or non-driver ID card number ",2018-05-30 00:00:00,,Unknown (discovered 2/15/18),,6(in Maine,"St. Mary's Health, Inc., dba St. Vincent Evansville, 3700 Washington Ave., Evansville, IN 47714",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-05-29 00:00:00,,2018-04-18 00:00:00,,5(in Maine,"Uno Alla Volta, LLC, 242 Branford Road, North Branford, CT 06471",,Maine
Customer account logon and payment card information,2018-05-29 00:00:00,,1/2018 through 5/9/18,,10(in Maine,"PrintingCenterUSA.com, 117 9th Street, N., Great Falls, MT 59401",,Maine
Name and SSN,2018-05-25 00:00:00,,11/13-14/17,,7(in Maine,SEIULocal 32BJ - Incident Notification,,Maine
Name and personal identifier in combination with SSN,2018-05-25 00:00:00,,2018-01-26 00:00:00,,4(in Maine,"Member Business Services, LLC dba Commercial Alliance, 1607 E. Big Beaver, Suite 201, Troy, MI 48084",,Maine
"Name or other personal identifier in combination with Driver's license #, or non-driver ID card number ",2018-05-25 00:00:00,,2/26/2018 (discovered 5/3/18),,3(in Maine,"Pendleton Square Trust Company, 3803 Bedford Ave., Suite 105, Nashville, TN 37215",,Maine
Name or other personal identifier in combination with SSN,2018-05-24 00:00:00,,2018-04-19 00:00:00,,11(in Maine,"Jarrett & Luitjens, PLC, 1795 Williston Road, Suite 125, South Burlington, VT 05403",,Maine
"Name or other personal identifier in combination with Driver's license #, or non-driver ID card number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-05-24 00:00:00,,9/7/17-3/22/18 (discovered 5/10/18),,1(in Maine,"Luxury Retreats, 5530 St. Patrick Street, Suite 2210, Montreal, Quebec, Canada H4E1A8",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-05-23 00:00:00,,10/1/17-12/22/17,,12(in Maine,"National Railroad Passenger Corporation (Amtrak), 1 Massachusetts Avenue, N.W., Suitge 635, Washington, DC 20001",,Maine
Name or other personal identifier in combination with SSN,2018-05-22 00:00:00,,2018-03-07 00:00:00,,2(in Maine,"Employee Benefits Corporation o/b/o InterVarsity Christian Fellowship/USA, 1350 Deming Way, Suite 300, Middleton, WI 53562",,Maine
Name or other personal identifier in combination with SSN,2018-05-21 00:00:00,,3/20/18-3/27/18 (discovered 4/19/18),,1(in Maine,"Pinnacle Advisory Group Inc., 6345 Woodside Court, Suite 100, Columbia, MD 21046",,Maine
"Name or other personal identifier in combination with SSN and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-05-21 00:00:00,,7/26/15 (discovered 4/13/18,,1(in Maine,"Stephen J Flood CPA, PLLC, 950 New Loudon Road #107, Latham, NY 12110",,Maine
"Payment card information including credit or debit card numbers and cardholder names, and potentially expiration dates and CVV codes",2018-05-18 00:00:00,,March - April 2018 (discovered 5/11/18) ,,Currently unknown (still investigating)(in Maine,Brinker International,,Maine
Name or other personal identifier in combination  with SSN,2018-05-17 00:00:00,,11/25/17 (discovered 4/5/18),,48(in Maine,"Corporation Service Co., 251 Little Falls Drive, Wilmington, DE 19808",,Maine
"Name or other personal identifier in combination with SSN and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-05-16 00:00:00,,On or before 4/16/18 (discovered 4/16/18),,1(in Maine,"Intuit Inc, 2535 Garcia Avenue, Mountain View, CA 94043",,Maine
Discover card account information may have been compromised.,2018-05-16 00:00:00,,2018-04-01 00:00:00,,10(in Maine,Rainbow Resource Center,,Maine
Discover card account information may have been compromised.,2018-05-16 00:00:00,,2018-04-01 00:00:00,,1(in Maine,Pizzahut.com,,Maine
Discover card account information may have been compromised.,2018-05-16 00:00:00,,2018-04-01 00:00:00,,1(in Maine,Ladder 15,,Maine
Discover card account information may have been compromised.,2018-05-16 00:00:00,,2018-04-01 00:00:00,,3(in Maine,The Beauty Place Inc,,Maine
Name or other personal identifier in combination with SSN,2018-05-16 00:00:00,,1/10/2018 (discovered 1/16/18),,989(in Maine,"Cable Hill Partners LLC, 806 SW Broadway, Suite 1000, Portland, OR 97205",,Maine
"Name or other personal identifier in combination with SSN and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-05-14 00:00:00,,2018-04-11 00:00:00,,6361(in Maine,"Task Rabbit Inc., 425 Second Street, 5th Floor, San Francisco, CA 94107",,Maine
Name or other personal identifier in combination with SSN,2018-05-13 00:00:00,,"Feb 9-26, 2018",,1(in Maine,"SP Industries Inc, 935 Mearns Road, Warminster, PA 18974",,Maine
Name or other personal identifier in combination with SSN,2018-05-08 00:00:00,,12/31/17-1/31/18 (discovered 3/21/18),,371(in Maine,"Global University, 1211 S. Glenstone Ave., Springfield, MO 65804",,Maine
"Name or other identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-05-08 00:00:00,,9/27/17-10/12/17 (discovered 3/26/18),,511(in Maine,"Sears Holdings Management Corporation, 3333 Beverly Road, Hoffman Estates, IL 60179",,Maine
"Name, SSN, address, birthdate, medications, care provider, medical history and other health information.",2018-05-08 00:00:00,,Discovered 2/1/18,,5(in Maine,"Integrated Practice Solutions, Inc., 9265 Sky Park CT STE 200, San Diego, CA 92123",,Maine
Name or other personal identifier in combination with SSN,2018-05-08 00:00:00,,2018-04-25 00:00:00,,1(in Maine,"DigiPen Institute of Technology, 9931 Willows Road NE, Redmond, WA 98052",,Maine
"Name, email address, physical address and order info including items ordered (including medication name); and obscured credit card numbers (only last four digits were readable);",2018-05-04 00:00:00,,2017-12-01 00:00:00,,1(in Maine,"Rx Valet, LLC, 1580 Atkinson Road, Lawrenceville, Geoargia 30043",,Maine
"Name, birthdate, phone number email address, physical/billing address, gender and credit card information ",2018-05-02 00:00:00,,3/8/2018 (Discovered 4/18/18),,1(in Maine,"Ramy Brook LLC, 231 W. 39th Street, Suite 720, NY, NY 10018",,Maine
"Name, address, SSN and, in certain circumstances, medical/ health insurance info and/or bank/brokerage account information.",2018-05-02 00:00:00,,6/15/17 - 4/6/18 (Discovered 4/6/18),,1(in Maine,Bennett & Thrasher,,Maine
"Name, address, phone number, age (but not date of birth), certain account balances and in some instances, email address",2018-05-02 00:00:00,,Discovered in Mid-April,,123(in Maine,"SunTrust Banks, Inc.",,Maine
"Name or other personal identifier in combination with SSN, ",2018-04-30 00:00:00,,9/2/17 to 10/2/17,,1(in Maine,"The National Restaurant Association, 2055 L Street, NW, Suite 700, Washington, DC 20036",,Maine
"Name, address and payment card information (card#, security code & exp. date)",2018-04-30 00:00:00,,Discovered on 3/18/18,,4(in Maine,Malley's Chocolates,,Maine
"Name, address, SSN",2018-04-27 00:00:00,,12/2/17-12/8/17,,1(in Maine,McMahon Thompson & Associates,,Maine
Name or other personal identifier in combination with SSN,2018-04-27 00:00:00,,10/20/17-12/15/17 (discovered 3/1/18),,3(in Maine,"MedWatch, LLC, 120 International Parkway, Suite 216, Lake Mary, FL 32746",,Maine
Name or other personal identifier in combination with SSN,4/27/2018 Supplement Notice,,11/22/17 to 12/8/17 (Discovered 3/22/18),,627(in Maine,"CPT Group Inc., 50 Corporate Drive, Irvine, CA 92606",,Maine
Name or other personal identifier in combination with SSN,2018-04-27 00:00:00,,11/22/17 to 12/8/17 (Discovered 3/22/18),,4(in Maine,"CPT Group Inc., 50 Corporate Drive, Irvine, CA 92606",,Maine
"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-04-27 00:00:00,,11/29/17 to 2/16/18,,70(in Maine,"Rail Europe North America, Inc., 333 Westchester Ave., 2nd Floor, West Building, SuiteW2200, White Plains, NY 10604",,Maine
Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number and account number,2018-04-26 00:00:00,,11/8/17 (discovered 2/9/18),,61(in Maine,"Cetera Advisors, LLC, 4600 South Syracuse Street, Suite 600, Denver, CO 80237",,Maine
Name or other personal identifier in combination with SSN,2018-04-26 00:00:00,,"Unknown, discovered 1/10/18",,1(in Maine,"Carolina Digestive Health Associates, PA, 11301 Carmel Commons Boulevard, Suite 302, Charlotte, NC 28226",,Maine
Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number,2018-04-26 00:00:00,,One or before 4/3/18,,2(in Maine,"Intuit, Inc., 2535 Garcia Avenue, Mountain View, CA 94043",,Maine
"Name, address, phone number, email address, birthdate and possible health information",2018-04-23 00:00:00,,Discovered 2/23/18,,5(in Maine,"Capital Digestive Care (""CDC""), Silver Spring, Maryland",,Maine
Not specified - Unauthorized login to web-based account,2018-04-23 00:00:00,,2018-02-20 00:00:00,,16(in Maine,"CNU of Maine, LLC and its affiliates, collectively d/b/a CashNetUSA, 175 W. Jackson Blvd., Suite 1000, Chicago, IL  60604",,Maine
"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-04-20 00:00:00,,10/1/17 - 12/22/17 (Discovered 3/22/18),,55(in Maine,"Southwest Airlines Co., 2702 Love Field Drive, Dallas, Texas 75235",,Maine
Not specified (Breach of a 3rd party vendor),2018-04-20 00:00:00,,9/26/17-10/12/17 (Discovered 4/10/18),,110(in Maine,"W.W. Grainger, Inc., 100 Grainger Parkway, Lake Forest, IL 60045",,Maine
Name or other personal identifier in combination with SSN,2018-04-20 00:00:00,,2017-10-15 00:00:00,,4(in Maine,"American Esoteric Laboratories, 1701 Century Center Cove, Memphis, TN 38134",,Maine
Bank account number and routing number,2018-04-19 00:00:00,,4/20/15-1/16/18 (discovered 11/23/17),,2(in Maine,"Strategic Analysis, Inc., 4075 Wilson Blvd, Suite 200, Arlington, VA 22203",,Maine
Name and SSN,2018-04-19 00:00:00,,2018-03-06 00:00:00,,2(in Maine,"Tech Needs North, Inc.",,Maine
"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-04-18 00:00:00,,"3/9/18, 3/22/18",,4(in Maine,"Eastern Bank, 265 Franklin Street, Boston, MA 02110",,Maine
Not speified,2018-04-17 00:00:00,,2018-01-02 00:00:00,,1(in Maine,Bank of America,,Maine
Not specified,2018-04-17 00:00:00,,Notified on 3/2/18,,1(in Maine,Bank of America (Dunn & Bradstreet breach),,Maine
"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-04-16 00:00:00,,8/1/17-12/1/17 ,,28(in Maine,"Temp-Tations Home LLC d/b/a ""Tara at Home"", 180 Gordon Drive, Suite 103, Exton, PA 19341",,Maine
Personal information,2018-04-16 00:00:00,,Discovered 3/1/18,,13(in Maine,"World Travel Holdings, Inc.",,Maine
Discover card account information,2018-04-16 00:00:00,,2018-03-01 00:00:00,,7(in Maine,City Winery Boston-Ecommerce,,Maine
Discover card account information,2018-04-16 00:00:00,,2018-03-01 00:00:00,,2(in Maine,Construct Playthings.com,,Maine
Discover card account information,2018-04-16 00:00:00,,2018-03-01 00:00:00,,11(in Maine,Directvapor.com,,Maine
Discover card account information,2018-04-16 00:00:00,,2018-03-01 00:00:00,,14(in Maine,Spark Pay Online,,Maine
Discover card account information,2018-04-16 00:00:00,,2018-03-01 00:00:00,,29(in Maine,Sporty's Catalogs,,Maine
Discover card account information,2018-04-16 00:00:00,,2018-03-01 00:00:00,,21(in Maine,Terren Corp,,Maine
Discover card account information,2018-04-16 00:00:00,,2018-03-01 00:00:00,,1(in Maine,USToy.com,,Maine
Discover card account information,2018-04-16 00:00:00,,2018-03-01 00:00:00,,1(in Maine,Vaporfi.com-New,,Maine
"Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for that account.",2018-04-13 00:00:00,,9/26/17-10/12/17 (Discovered 3/28/18),,2827 Approx.(in Maine,"Delta Air Lines, Inc., 1030 Delta Boulevard, Atlanta, GA 30354",,Maine
"Cardholder name, address and payment card information including card number, exp date and seurity code.",2018-04-13 00:00:00,,9/26/17 - 10/12/17 (Notified late March 2018),,Not specified(in Maine,"Best Buy Co., Inc.",,Maine
"Name, address, telephone number, email address, birthdate, date of death, medicare ID mumbers, insurance policy info, and/or typle of medical equipment provided may have been accessed.",2018-04-13 00:00:00,,12/9/17-3/14/18,,84(in Maine,"Inogen, Inc., 326 Bollay Drive, Goleta, CA 93117",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-04-12 00:00:00,,2/20/18-3/15/18 (alerted to incident 3/12/18),,3(in Maine,"PF@-Com, Inc., 8 Campus Drive, 2nd Floor, Parsippany, NJ 07054",,Maine
Name or other personal identifier in combination with SSN,2018-04-11 00:00:00,,3/6/18-3/15/18,,3(in Maine,"Mise En Place Restaurant Services, Inc, 1639 11th Street, Suite 107, Santa Monica, CA 90404",,Maine
"May have included name, address, and payment card information",2018-04-11 00:00:00,,On or about 9/26/17 (discovered 3/7/18),,8(in Maine,"BTCE, Inc. d/b/a HomeBrewIt.com",,Maine
"Name, addres, payment card number, cvv numberand exp date",2018-04-11 00:00:00,,9/26/17-10/12/17 (Notified 3/28/18),,2827(in Maine,"Delta Air Lines, ",,Maine
Name or other personal identifier in combination with SSN,2018-04-10 00:00:00,,August of 2017 (breached discovered 3/23/18),,1(in Maine,"IIS Financial Services, 707 Sable Oaks Drive, Suite 203, South Portland, Maine 04106",,Maine
None specified.  Bank of America's online banking website was not compromised and remains secure.,2018-04-09 00:00:00,,Notified 3/19/18,,138(in Maine,Bank of America (Orbitz data breach 3/2018),,Maine
Name or other personal identifier in combination with SSN,2018-04-06 00:00:00,,1/29/18-3/15/18 (discovered 3/15/18),,5(in Maine,"Blue Beacon International, 500 Graves Blvd., Salina, Kansas 67401",,Maine
Name or other personal identifier in combination with SSN,2018-04-06 00:00:00,,2018-03-30 00:00:00,,1(in Maine,"Bearing Distributors, Inc. 8000 Hub Parkway, Cleveland, OH 44125",,Maine
"Payment card numbers without security code, access code or password ",2018-04-04 00:00:00,,1/1/16-12/2/17 (discovered 3/21/18),,5(in Maine,"Interval International Inc, 6262 Sunset Drive, Miami, FL 33143",,Maine
"Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for that account.",2018-04-04 00:00:00,,2017-09-29 00:00:00,,4(in Maine,"John Y. Trent & Associates LLC, 814 Fulton Street, Farmingdale, NY 11735",,Maine
Name or other personal identifier in combination with SSN and driver's license number or non-driver identification card number,2018-04-03 00:00:00,,2018-02-12 00:00:00,,2(in Maine,"US GreenFiber LLC, 5500 77 Center Drive, Suite 100, Charlotte, NC  28217",,Maine
Name or other personal identifier in combination with SSN and driver's license number or non-driver identification card number,2018-04-02 00:00:00,,1/28-31/2018; 2/8-9/18 (discovered 3/7/18),,4(in Maine,"The Lincoln National Life Insurance Company, 1300 S. Clinton Street, Fort Wayne, IN 46802",,Maine
Name or other personal identifier in combination with SSN,2018-03-30 00:00:00,,2017-10/13/17,,7(in Maine,"Thermo Fisher Scientific Inc., 168 Third Avenue, Waltham, MA 02451",,Maine
"Name, SSN and direct deposit information (if the individual was paid by the Ballet through direct deposit (ofr employees and 3rd party contractors)",2018-03-30 00:00:00,,2018-03-02 00:00:00,,1(in Maine,"The Alabama Ballet, 2726 1st Avenue South, Birmingham, AL 35233",,Maine
"Name, birthdate, clinic notes and progress notes ",2018-03-30 00:00:00,,Discovered 1/31/18,,1(in Maine,"Milligan Chiropractic Group, Inc., d/b/a Del Mar Chiropractic Sports Group",,Maine
"Username, email address, hashed passwords",2018-03-29 00:00:00,,Discovered 3/25/18,,Unknown(in Maine,"Under Armour, Inc.",,Maine
"Name or other personal identifier in combination with SSN, although the forensics firm doesn’t believe that SSNs were actually accessed or acquired.",2018-03-28 00:00:00,,2/10/18-2/12/18,,16(in Maine,"Applied Plan Administrators. A dovosopm pf the Retirement Advantage, Inc., 101 East Grand Ave., Suite 16, Port Washington, WI 53074",,Maine
Credit or debit card information,2018-03-28 00:00:00,,Not specified,,Not specified(in Maine,"Fred Usinger, Inc. ",,Maine
"Name, address, SSN,& employer Identification numbers",2018-03-27 00:00:00,,"April - August, 2017 (recently learned)",,3(in Maine,"JC Penney Corp., Inc.",,Maine
"Name, email address, mailing address, birthdate, phone number, SSN, and in some cases, bank account info used for direct deposit of employee payments",2018-03-26 00:00:00,,Discovered January 2018,,1(in Maine,"Boys & Girls Club, 701 N. Raleigh Blvd, Raleigh, NC 27610",,Maine
"Name, credit or debit card number and card exp date. (the CVV code and debit PIN numbers were not accessed ",2018-03-23 00:00:00,,10/31/17-2/1/18 (discovered 2/1/18),,12(in Maine,"Bigfoot Gun Belts, ",,Maine
"Name, address, SSN & birthdate",2018-03-23 00:00:00,,2/10&11/18,,1(in Maine,"Friedman, Leavitt & Associates, Inc.",,Maine
"Name or other identifier in combination with  financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-03-27 00:00:00,,2/22/17-3/5/18,,238(in Maine,"Manduka, 2121 Park Place, Suite 250, El Segundo, CA 90245",,Maine
"Name or other identifier in combination with  financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-03-26 00:00:00,,2018-02-25 00:00:00,,1(in Maine,"Pro World, Inc., 961 Bethel Ave., Pennsauken, NJ 08110",,Maine
Name or other personal identifier in combination with SSN,2018-03-25 00:00:00,,2018-03-05 00:00:00,,1(in Maine,"MS Thornton, CPA, PO Box 1059, Cardiff, CA 92007",,Maine
Not specified,2018-03-23 00:00:00,,Notified 3/3/18,,Not specified(in Maine,Funding Circle ,,Maine
"Name or other identifier in combination with SSN and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2018-03-23 00:00:00,,11/29/17 (discovered 2/21/18),,9(in Maine,"Teal Becker & Chiaramonte, CPAs, PC, 7 Washington Square, Albany, NY 12205",,Maine
"Name, card type, card number and exp. Date, birthdate, phone number, email address, physical and/or billing address, and gender",2018-03-22 00:00:00,,1/1/16 -12/22/17,,880(in Maine,"American Express Travel Related Services, Company, General Counsel's Office, 200 Vesey Street, NY, NY 10285",,Maine
"Name, address, SSN, drivers' license or government identification number, financial account infor, or medical treatment info",2018-03-21 00:00:00,,2017-09-20 00:00:00,,8(in Maine,"Clinical Pathology Laboratories Southeast, Inc. (""CPLSE"")",,Maine
Name or other personal identifier in combination with financial account number or credit or debit card number ,2018-03-20 00:00:00,,10/1/17 - 12/22/17,,749(in Maine,"Orbitz, 500 W. Madison Street, 7th Floor, Chicago, IL 60661",,Maine
"Financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-03-19 00:00:00,,11/2017 - 1/2018,,22(in Maine,"OnePlus Technology (Shenzhen) Co., Ltd., 18/F, Block C, Tairan Building, No. 8 Tairan Rd., Futian District, Shenzhen, Guangdong, China 518000 (China)",,Maine
"Name, address and payment card information (card#, security code & exp. date)",2018-03-19 00:00:00,,5/15/17 - 1/30/18,,110(in Maine,Bronson Nutritionals LLC,,Maine
Name or other personal identifier in combination with SSN,2018-03-16 00:00:00,,2/22/18-2/23/18,,1(in Maine,"Clarfeld Financial Advisors, 520 White Plains Road, Tarrytown, NY 10591",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the accoun",2018-03-15 00:00:00,,11/1/17-2/14/18,,4(in Maine,"Island Outdoor, LLC, 47 Mall Drive, Suite 4, Commack, NY 11725",,Maine
"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number",2018-03-14 00:00:00,,On or before 2/25/18,,1(in Maine,"Intuit, Inc., 2535 Garcia Avenue, Mountain View, CA 94043",,Maine
"Name or other personal identifier in combination with SSN, Driver's license number state ID numbers, medical information and health insurance numbers",2018-03-13 00:00:00,,Supplement to 11/14/17 Notice,,Additional 4 Maine residents(in Maine,"ABM Industries Incorporated, One Liberty Plaza, 7th Floor, New York, NY 10006",,Maine
Discover card account information,2018-03-13 00:00:00,,2018-02-01 00:00:00,,2(in Maine,"Buffalo Jackson Trading Co., LLC",,Maine
Discover card account information,2018-03-13 00:00:00,,2018-02-01 00:00:00,,10(in Maine,Chipolte FOS Only,,Maine
Discover card account information,2018-03-13 00:00:00,,2018-02-01 00:00:00,,1(in Maine,CiCi's Pizza,,Maine
Discover card account information,2018-03-13 00:00:00,,2018-02-01 00:00:00,,3(in Maine,North 40 Outfitters,,Maine
Discover card account information,2018-03-13 00:00:00,,2018-02-01 00:00:00,,27(in Maine,Tennis Express,,Maine
Not specifed,2018-03-13 00:00:00,,2018-02-19 00:00:00,,7(in Maine,"CNU Online Holdings LLC, d/b/a NetCredit, 175 W. Jackson Blvd., Suite 1000, Chicago, IL 60604",,Maine
"Name or other personal identifier in combination with SSN and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-03-13 00:00:00,,6/1/2017 (discovered 1/23/18),,2(in Maine,"Rotary International, One Rotary Center, 1560 Sherman Avenue, Evanston, IL 60201",,Maine
Name or other personal identifier in combination with SSN,2018-03-09 00:00:00,,2018-03-02 00:00:00,,2(in Maine,"Quanta Technology, LLC, 4020 Westchase Blvd, Suite 300, Raleigh, NC 27607",,Maine
Name or other personal identifier in combination with SSN,2018-03-09 00:00:00,,2018-02-09 00:00:00,,1(in Maine,"Nova Southeastern University, 3301 College Ave., Fort Lauderdale, FL 33314",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-03-07 00:00:00,,Discovered 1/2/18,,2(in Maine,"Chopra Enterprises, LLC, 2013 Costa Del Mar Road, Carlsbad, CA 92009",,Maine
"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-03-06 00:00:00,,"12/1/2017, (discovered 1/12/18)",,3(in Maine,"California  State University, 5241 N. Maple Ave., Fresno, CA 93740",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-03-06 00:00:00,,10/27/17-12/23/17,,6(in Maine,"Interstate Plastics, Inc., 330 Commerce Circle, Sacramento, CA 95815",,Maine
"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2018-03-05 00:00:00,,2/2-2/6/18,,2(in Maine,"Citizens Financial Group, 100 Sockanosset Crossroad, Cranston, RI 02920 (email)",,Maine
"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number",2018-03-05 00:00:00,,On or before 2/6/18,,2(in Maine,"Intuit, Inc., 2535 Garcia Avenue, Mountain View, CA 94043  ",,Maine
"Name, address, birthdate, SSN and financial account information",2018-03-02 00:00:00,,Discovered 2/7/18,,2(in Maine,"Fairchild Maddox & Leonidas, Ltd",,Maine
"Payment card information including the cardholder's name, credit/debit card number, and expiration date and, potentially, card verification codes.",2018-03-02 00:00:00,,June 2016 - Nov 2017,,12(in Maine,Preferred Hotels & Resorts,,Maine
"Name, address, SSN and earnings information",2018-03-02 00:00:00,,2018-02-08 00:00:00,,2(in Maine,"ICF, 9300 Lee Highway, Fairax, VA 22031",,Maine
"Name, and in certain circumstances, SSN and/or driver's license numbers.",2018-03-01 00:00:00,,Discovered 1/15/18,,2(in Maine,Centris FCU ,,Maine
Name and either full SSN or last 4 digits of SSN,2018-03-01 00:00:00,,Discovered 2/2/18,,9(in Maine,"Beachbody,LLC, ",,Maine
Name or other personal identifier in combination with SSN,2018-03-01 00:00:00,,10/14/17-12/8/17 (discovered 1/5/18),,2(in Maine,"Ventiv Technology, Inc., 3350 Riverwood Parkway, 20th Floor, Atlanta, GA 30339",,Maine
Name or other personal identifier in combination with SSN,2018-02-28 00:00:00,,2018-01-31 00:00:00,,8(in Maine,"ASI Constructors, Inc., 280 East 20th Avenue, Denver, CO 80205",,Maine
