Name of Entity,Start Date of Breach,Individuals Affected,State Reported,Data Stolen,Date Notice Provided to Consumers,Date(s) of Discovery of Breach,Dates of Breach,Industry,Parent Company,Website,End Date of Breach,Link to PDF,Location of Breached Information,Reported Date,Type of Breach,Source(s)
Leavitt Group Enterprises,2017-03-29 00:00:00,4.0,{'Montana'},UNK,,,3/29/2017-5/15/2017,,,,2017-05-15, https://media.dojmt.gov/wp-content/uploads/Leavitt-Group-Enterprises.pdf ,,2017-06-12,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
Legacy Health,2018-05-26 00:00:00,,{'Oregon'},UNK,2018-08-20 00:00:00,2018-06-21 00:00:00,5/26/2018 - 5/26/2018,Healthcare,,,2018-05-26 00:00:00,,,2018-08-21 00:00:00,7,"{'{""{\'https://justice.oregon.gov/consumer/DataBreach/Home/\'}""}', ""{'https://justice.oregon.gov/consumer/DataBreach/Home/'}""}"
Legacy Properties,2018-08-14 00:00:00,900.0,{'Montana'},UNK,,,8/14/2018-8/14/2018,,,,2018-08-14, https://media.dojmt.gov/wp-content/uploads/VenatoRX.pdf ,,2018-09-12,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
Legal Aid Society Of Orange County,2016-09-25 00:00:00,,{'California'},UNK,,,09/25/2016,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-65740,,2017-01-06,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
Legal Aid Society Of San Mateo County,2013-08-12 00:00:00,,{'California'},UNK,,,08/12/2013,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-42946,,2013-10-11,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
"Legal Sea Foods, Llc,",2014-06-27 00:00:00,,{'New Hampshire'},UNK,,,"June 27, 2014",Restaurants,,legalseafoods.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/legal-sea-foods-20140627.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Lehigh Hanson,",2008-12-08 00:00:00,,{'New Hampshire'},['name'],,,"December 08, 2008",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/lehigh-hanson-20081208.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Lehman Roberts Company,2018-02-21 00:00:00,3.0,{'Indiana'},UNK,2018-05-31,,2018-02-21 00:00:00,Professional services,,www.ey.com,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Lehman S Terms Inc,2015-12-20 00:00:00,260.0,{'Indiana'},UNK,2016-01-06,,2015-12-20 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Leighton Oare Foundation,2016-05-19 00:00:00,60.0,{'Indiana'},UNK,2016-05-27,,2016-05-19 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Lendio,",2017-09-15 00:00:00,,{'New Hampshire'},"['name', 'date of birth', 'dates of birth', 'gender', 'payment', 'email', 'phone number', 'address']",,,"September 15, 2017",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/lendio-20170915.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Lendkey Technologies, Inc.,",2018-02-15 00:00:00,,{'New Hampshire'},"['license', 'name', 'date of birth', 'financial', 'email', 'address', 'insurance']",,,"February 15, 2018",Personal finance Platform as a ServiceSoftware,,www.lendkey.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/lendkey-20180215.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Lendkey Technologies, Inc.,",2016-06-27 00:00:00,6403.0,"{'Indiana', 'Montana'}",UNK,,,6/27/2016-12/21/2017,Personal finance Platform as a ServiceSoftware,,www.lendkey.com,2017-12-21, https://media.dojmt.gov/wp-content/uploads/LendKey.pdf ,,2018-02-15,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}"", \\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Lendup Processing Center,2016,,{'Washington'},"['license', 'name', 'dates of birth', 'financial', 'email', 'phone number', 'address', 'medical', 'insurance']",,,2016,,,,,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/LendUpProcessingCenter2016-05.pdf,,2016-05-10 00:00:00,6,"{'{""{\'https://www.atg.wa.gov/data-breach-notifications\'}"", \'https://www.atg.wa.gov/data-breach-notifications\'}'}"
Leo Edwards Jr M D,2016-11-01 00:00:00,19564.0,{'Indiana'},UNK,2017-02-27,,2016-11-01 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Lewis Mountain Cabins,2016-08-10 00:00:00,,{'Montana'},UNK,,,8/10/2016-3/9/2017,,,,2017-03-09, https://media.dojmt.gov/wp-content/uploads/Lewis-Mountain-Cabins.pdf ,,2017-07-31,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Lexington County Health Services District, Inc.",2017-02-13 00:00:00,12.0,"{'Indiana', 'Montana'}",UNK,,,2/13/2017-2/13/2017,,,www.lexmed.com,2017-02-13, https://media.dojmt.gov/wp-content/uploads/Lexington-County-Health-Services-District-Inc..pdf ,,2017-03-02,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}"", \\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Lexington Medical Center,",2017-03-02 00:00:00,,{'New Hampshire'},"['name', 'financial', 'address', 'medical', 'insurance']",,,"March 02, 2017",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/lexington-medical-center-20170302.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Lexisnexis,",2007-03-08 00:00:00,,{'New Hampshire'},UNK,,,"March 08, 2007",Publishing,RELX Group,Lexisnexis.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/lexisnexis-20070308.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Lexisnexis,",2007-03-20 00:00:00,,{'New Hampshire'},UNK,,,"March 20, 2007",Publishing,RELX Group,Lexisnexis.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/lexisnexis-20070320.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Lexisnexis,",2007-06-01 00:00:00,,{'New Hampshire'},UNK,,,"June 01, 2007",Publishing,RELX Group,Lexisnexis.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/lexisnexis-20070601.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Lexisnexis,",2009-05-01 00:00:00,,{'New Hampshire'},UNK,,,"May 01, 2009",Publishing,RELX Group,Lexisnexis.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/lexisnexis-20090501.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Lexisnexis,",2011-05-09 00:00:00,,{'New Hampshire'},UNK,,,"May 09, 2011",Publishing,RELX Group,Lexisnexis.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/lexisnexis-20110509.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Lexisnexis,",2012-12-06 00:00:00,,{'New Hampshire'},UNK,,,"December 06, 2012",Publishing,RELX Group,Lexisnexis.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/lexisnexis-20121206.pdf,,,1,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Li Tax And Planning, Inc..,",2018-04-19 00:00:00,,{'New Hampshire'},UNK,,,"April 19, 2018",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/li-tax-20180419.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Libbey, Inc.,",2015-01-06 00:00:00,,{'New Hampshire'},UNK,,,"January 06, 2015",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/libbey-20150106.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Liberty Buy Sell,a,,{'Oregon'},UNK,,2016-09-21 00:00:00,,Mass media,,libertymedia.com,,,,2016-10-17 00:00:00,7,"{'{\'https://justice.oregon.gov/consumer/DataBreach/Home/\', ""{\'https://justice.oregon.gov/consumer/DataBreach/Home/\'}""}'}"
Liberty Hardware Manufacturing Corporation,2016-02-01 00:00:00,1.0,{'Montana'},UNK,,,2/1/2016-12/31/2016,,,www.masco.com,2016-12-31, https://media.dojmt.gov/wp-content/uploads/Liberty-Hardware-Manufacturing-Corporation.pdf ,,2017-02-24,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
Liberty Tax Service,2015-02-01 00:00:00,,{'California'},UNK,,,02/01/2015,,,www.libertytax.com,,https://oag.ca.gov/ecrime/databreach/reports/sb24-48438,,2015-02-13,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
"Library Systems & Services, Llc",2012-10-31 00:00:00,,{'California'},UNK,,,10/31/2012,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-37274,,2012-12-17,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
Life Equity Llc,2018-11-13 00:00:00,2.0,{'Montana'},UNK,,,11/13/2018-01/16/2019,,,,2019-01-16,https://media.dojmt.gov/wp-content/uploads/CON-3.27.19-Montana-Regulator-Notice.pdf,,2019-03-27,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
Life Lock Inc,2016-04-28 00:00:00,28.0,{'Indiana'},UNK,2016-05-27,,2016-04-28 00:00:00,,Symantec,www.lifelock.com,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Life Span Inc,2018-07-04 00:00:00,91.0,{'Indiana'},UNK,2018-07-09,,2018-07-04 00:00:00,Storage device,,www.netapp.com,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Life Time Inc,2018-01-09 00:00:00,15.0,{'Indiana'},UNK,2018-01-11,,2018-01-09 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Lifebridge Health Notice To Consumers,Not Specified,,{'Vermont'},UNK,2018-07-30 00:00:00,,,,,,,https://ago.vermont.gov/blog/2018/07/30/lifebridge-health-data-breach-notice-to-consumers/,,,7,{'https://ago.vermont.gov/archived-security-breaches/'}
"Lifebridge Health,",2018-05-15 00:00:00,,{'New Hampshire'},UNK,,,"May 15, 2018",Healthcare,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/lifebridge-health-20180515.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Lifebridge Health,",2018-07-30 00:00:00,,{'New Hampshire'},UNK,,,"July 30, 2018",Healthcare,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/lifebridge-health-20180730.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Lifebridge Health,",2016-09-27 00:00:00,28.0,"{'California', 'Montana'}",UNK,,,9/27/2016-3/18/2018,Healthcare,,,2018-03-18, https://media.dojmt.gov/wp-content/uploads/LifeBridge-Health.pdf ,,2018-05-15,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\', ""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Lifesize Communications,",2012-03-09 00:00:00,,{'New Hampshire'},UNK,,,"March 09, 2012",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/lifesize-communications-20120309.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Lifeskills Inc,2018-02-05 00:00:00,246.0,{'Indiana'},UNK,2018-02-05,,2018-02-05 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Lifespan,2017-02-25 00:00:00,2.0,{'Montana'},UNK,,,2/25/2017-4/21/2017,,,,2017-04-21, https://media.dojmt.gov/wp-content/uploads/George-Fox-University.pdf ,,2017-04-21,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Lifetime Healthcare Companies, The,",2015-09-09 00:00:00,,{'New Hampshire'},UNK,,,"September 09, 2015",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/lifetime-healthcare-20150909.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Lifeview Outdoors,",2015-05-19 00:00:00,,{'New Hampshire'},UNK,,,"May 19, 2015",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/lifeview-outdoors-20150519.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Lifewatch Corporation,",2009-03-19 00:00:00,,{'New Hampshire'},UNK,,,"March 19, 2009",Broadcasting,,www.foxcorporation.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/lifewatch-20090319.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Lighthouse Management Services,2017-08-05 00:00:00,1.0,{'Montana'},UNK,,,8/5/2017-8/7/2017,,,,2017-08-07, https://media.dojmt.gov/wp-content/uploads/LightHouse-Management-Services.pdf ,,2017-10-20,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Lighthouse Management,",2017-10-20 00:00:00,,{'New Hampshire'},UNK,,,"October 20, 2017",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/lighthouse-management-20171020.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Lightspeed Systems Inc,2016-09-06 00:00:00,340.0,{'Indiana'},UNK,2017-01-30,,2016-09-06 00:00:00,,,www.lightspeedsystems.com,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Lillebaby,",2018-08-29 00:00:00,,{'New Hampshire'},UNK,,,"August 29, 2018",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/lillebaby-20180829.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Lillebaby,",2016-06-01 00:00:00,37000.0,"{'Indiana', 'Washington'}","['name', 'date of birth', 'payment', 'security code', 'expiration date', 'address', 'insurance']",,,06/2016 to 07/2018,,,,2018-07-01 00:00:00,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/LILLEbaby.2018-08-29.pdf,,2018-08-29 00:00:00,1,"{""{'https://www.atg.wa.gov/data-breach-notifications'}"", '{""{\'https://www.atg.wa.gov/data-breach-notifications\'}"", \'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Lillebaby,",Not Specified,,{'Vermont'},UNK,2018-09-12 00:00:00,,,,,,,https://ago.vermont.gov/blog/2018/09/12/lillebaby-notice-of-data-breach-to-consumers/,,,7,{'https://ago.vermont.gov/archived-security-breaches/'}
"Lime Crime, Inc.",2014-10-04 00:00:00,,{'California'},UNK,,,10/04/2014,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-48501,,2015-02-24,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
"Lime Crime, Inc., (limecrime.com),",2015-03-10 00:00:00,,{'New Hampshire'},UNK,,,"March 10, 2015",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/lime-crime-20150310.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Lin R. Rogers Electrical Contractors, Inc. Dba Rogers Electric,",2015-08-21 00:00:00,,{'New Hampshire'},UNK,,,"August 21, 2015",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/rogers-electrical-20150821.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Lincoln Credit Center,2013-10-20 00:00:00,,{'California'},UNK,,,10/20/2013,,,,,https://oag.ca.gov/ecrime/databreach/reports/sb24-43266,,2013-11-15,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
Lincoln Financial,Not Specified,,{'Vermont'},UNK,2018-04-02 00:00:00,,,"Insurance, Asset management",,,,https://ago.vermont.gov/blog/2018/04/02/lincoln-financial-sbn-to-consumers/,,,7,{'https://ago.vermont.gov/archived-security-breaches/'}
"Lincoln Financial Group,",2017-11-29 00:00:00,,{'New Hampshire'},UNK,,,"November 29, 2017","Insurance, Asset management",,,,https://www.doj.nh.gov/consumer/security-breaches/documents/lincoln-financial-20171129.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Lincoln Financial Group,",2018-04-02 00:00:00,,{'New Hampshire'},UNK,,,"April 02, 2018","Insurance, Asset management",,,,https://www.doj.nh.gov/consumer/security-breaches/documents/lincoln-financial-20180402.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Lincoln Financial Group,",2018-01-29 00:00:00,2.0,{'Montana'},UNK,,,1/29/2018-2/9/2018,"Insurance, Asset management",,,2018-02-09, https://media.dojmt.gov/wp-content/uploads/Lincoln-Financial-Group.pdf ,,2018-04-03,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Lincoln Financial Group,",2018-04-11 00:00:00,18.0,{'Indiana'},UNK,2018-05-01,,2018-04-11 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
"Lincoln Financial Securities Corporation/lincoln Financial Advisors Corporation,",2010-01-04 00:00:00,,{'New Hampshire'},UNK,,,"January 04, 2010",Financial services,,www.statestreet.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/lincoln-financial-20100104.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Lincoln Life Insurance Co.,",2010-05-17 00:00:00,,{'New Hampshire'},UNK,,,"May 17, 2010","Insurance, Asset management",,,,https://www.doj.nh.gov/consumer/security-breaches/documents/lincoln-life-20100517.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Lincoln Life Insurance Co.,",2010-07-16 00:00:00,,{'New Hampshire'},UNK,,,"July 16, 2010","Insurance, Asset management",,,,https://www.doj.nh.gov/consumer/security-breaches/documents/lincoln-life-20100716.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Lincoln Life Insurance Co.,",2011-07-13 00:00:00,,{'New Hampshire'},UNK,,,"July 13, 2011","Insurance, Asset management",,,,https://www.doj.nh.gov/consumer/security-breaches/documents/lincoln-life-20110713.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Lincoln Life Insurance Co.,",2011-08-15 00:00:00,,{'New Hampshire'},UNK,,,"August 15, 2011","Insurance, Asset management",,,,https://www.doj.nh.gov/consumer/security-breaches/documents/lincoln-life-20110815.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Lincoln Savings Bank,Not Specified,,{'Iowa'},UNK,,,,Savings & Loan,American Continental Corporation,,,https://www.iowaattorneygeneral.gov/media/cms/Lincoln_Savings_Bank_094223C94114F.pdf,,2017-03-31 00:00:00,1,{'https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/'}
Linkedin,2012-06-06 00:00:00,6.0,{'Wisconsin'},UNK,2012-06-06 00:00:00,,"June 6, 2012",Internet,Microsoft Corporation,www.linkedin.com,,,,,7,"{'{""{\'https://datcp.wi.gov/Pages/Programs_Services/DataBreaches.aspx\'}""}'}"
Linkedin Corporation,2016-05-17 00:00:00,,{'California'},UNK,,,05/17/2016,Internet,Microsoft Corporation,www.linkedin.com,,https://oag.ca.gov/ecrime/databreach/reports/sb24-62124,,2016-06-02,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
"Lionel Lasalle, Ii Cpa,",2019-02-28 00:00:00,,{'New Hampshire'},UNK,,,"February 28, 2019",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/lionelle-lasalle-20190228.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Lipscomband Pitts Insurance Llc,2018-01-20 00:00:00,457.0,{'Indiana'},UNK,2018-07-06,,2018-01-20 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Lipscomband Pitts Insurance Llc,2018-03-19 00:00:00,1592.0,{'Indiana'},UNK,2018-08-29,,2018-03-19 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Lipton Cpaassociates Llc,2017-04-01 00:00:00,65.0,{'Indiana'},UNK,2017-05-02,,2017-04-01 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Liquidity Services,2018-04-01 00:00:00,3000.0,{'Indiana'},UNK,2018-10-12,,2018-04-01 00:00:00,"Online dating, adult entertainment",,www.ffn.com,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Litaxand Planning Inconbehalfof Litax Inc,2017-11-01 00:00:00,3882.0,{'Indiana'},UNK,2018-04-16,,2017-11-01 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Litera Microsystems,2018-03-18 00:00:00,11.0,{'Indiana'},UNK,2018-12-20,,2018-03-18 00:00:00,,,,,,,,7,"{'{\'{\\\'{""{\\\\\\\'https://www.in.gov/attorneygeneral/2874.htm\\\\\\\'}""}\\\'}\'}'}"
Little River Healthcare,2017-06-26 00:00:00,3.0,{'Montana'},UNK,,,6/26/2017-6/26/2017,,,,2017-06-26, https://media.dojmt.gov/wp-content/uploads/Little-River-Healthcare.pdf ,,2017-11-07,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Little River Healthcare - Central Texas,",2017-11-07 00:00:00,,{'New Hampshire'},UNK,,,"November 07, 2017",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/little-river-healthcare-20171107.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Littleton Regional Hospital.,2009-04-13 00:00:00,,{'New Hampshire'},UNK,,,"April 13, 2009",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/littleton-hospital-20090413.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Littleton Regional Hospital.,2010-06-29 00:00:00,,{'New Hampshire'},UNK,,,"June 29, 2010",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/littleton-hospital-20100629.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Littleton Regional Hospital.,2014-04-09 00:00:00,,{'New Hampshire'},UNK,,,"April 09, 2014",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/littleton-hospital-20140409.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
Liveglam,2017-04-25 00:00:00,41.0,{'Montana'},UNK,,,4/25/2017-12/11/2017,,,www.dharmann.com,2017-12-11, https://media.dojmt.gov/wp-content/uploads/Liveglam.pdf ,,2017-12-29,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
"Liveglam, Inc.",2017-04-25 00:00:00,,"{'California', 'Washington'}","['name', 'payment', 'email', 'phone number', 'address']",,,04/25/2017,,,www.dharmann.com,,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/LiveGlamInc.2018-01-02.pdf,,2017-12-22 00:00:00,1,"{'{""{\'https://www.atg.wa.gov/data-breach-notifications\'}"", \'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}', ""{'https://www.atg.wa.gov/data-breach-notifications'}""}"
"Liveglam, Inc.",2017-12-11 00:00:00,,{'Oregon'},UNK,,,12/11/2017,,,www.dharmann.com,,,,2018-01-11 00:00:00,7,"{'{""{\'https://justice.oregon.gov/consumer/DataBreach/Home/\'}""}', ""{'https://justice.oregon.gov/consumer/DataBreach/Home/'}""}"
"Living Naturally,",2010-12-31 00:00:00,,{'New Hampshire'},UNK,,,"December 31, 2010",,,,,https://www.doj.nh.gov/consumer/security-breaches/documents/living-naturally-20101231.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Living Social,",2013-04-26 00:00:00,,{'New Hampshire'},UNK,,,"April 26, 2013",,,LivingSocial.com,,https://www.doj.nh.gov/consumer/security-breaches/documents/living-social-20130426.pdf,,,7,{'https://www.doj.nh.gov/consumer/security-breaches/'}
"Living Social, Inc.",2013-04-05 00:00:00,,{'California'},UNK,,,04/05/2013,,,LivingSocial.com,,https://oag.ca.gov/ecrime/databreach/reports/sb24-41617,,2013-04-26,7,"{'{\'{\\\'{\\\\\\\'{""{\\\\\\\\\\\\\\\'https://oag.ca.gov/privacy/databreach/list\\\\\\\\\\\\\\\'}""}\\\\\\\'}\\\'}\'}'}"
"Livongo Health, Inc.",2015-11-26 00:00:00,1.0,{'Montana'},UNK,,,11/26/2015-11/26/2015,,,,2015-11-26, https://media.dojmt.gov/wp-content/uploads/Livongo.pdf ,,2016-01-14,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
Ljcooper,2018-09-18 00:00:00,1.0,{'Montana'},UNK,,,9/18/2018-9/18/2018,,,,2018-09-18, https://media.dojmt.gov/wp-content/uploads/LJCooper-Capital-Management-LLC-LJCooper.pdf ,,2018-10-29,7,"{'{\'{""{\\\'https://dojmt.gov/consumer/consumers-known-data-breach-incidents/#\\\'}""}\'}'}"
